Species_name,Family,Genus,Species_epithet,Seed_weight,Seed_weight_source,Mating_system,Mating_system_source,Growth_form,Growth_form_herb,Growth_form_source
Arnica_sororia,Asteraceae,Arnica,sororia,0.8505,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Aster_acuminatus,Asteraceae,Aster,acuminatus,0.44,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Aster_amellus,Asteraceae,Aster,amellus,0.84,Seed Information Database,SI,Castro et al. (2010),Herb,Herb,Engemann et al. (2016)
Aster_laevis,Asteraceae,Aster,laevis,0.306,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Aster_puniceus,Asteraceae,Aster,puniceus,0.132,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Aster_subulatus,Asteraceae,Aster,subulatus,0.07,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Aster_tripolium,Asteraceae,Aster,tripolium,0.41,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Asteriscus_aquaticus,Asteraceae,Asteriscus,aquaticus,0.7896,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Asteriscus_graveolens,Asteraceae,Asteriscus,graveolens,0.397,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Asteriscus_intermedius,Asteraceae,Asteriscus,intermedius,0.4556,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Balsamorhiza_sagittata,Asteraceae,Balsamorhiza,sagittata,5.54,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_aristosa,Asteraceae,Bidens,aristosa,2.101,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_bipinnata,Asteraceae,Bidens,bipinnata,2.54,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_cernua,Asteraceae,Bidens,cernua,2.1999,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_discoidea,Asteraceae,Bidens,discoidea,1.4,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_frondosa,Asteraceae,Bidens,frondosa,4.9,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_laevis,Asteraceae,Bidens,laevis,2.139,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_odorata,Asteraceae,Bidens,odorata,1.24,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_pilosa,Asteraceae,Bidens,pilosa,1.5,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_schimperi,Asteraceae,Bidens,schimperi,2.1908,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Bidens_trichosperma,Asteraceae,Bidens,trichosperma,3.339,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_tripartita,Asteraceae,Bidens,tripartita,2.3,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Bidens_vulgata,Asteraceae,Bidens,vulgata,7.1816,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Blennosperma_nanum,Asteraceae,Blennosperma,nanum,1.336,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Blennospora_drummondii,Asteraceae,Blennospora,drummondii,0.3644,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Blepharipappus_scaber,Asteraceae,Blepharipappus,scaber,1.0382,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Brachyscome_muelleri,Asteraceae,Brachyscome,muelleri,0.1412,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Calendula_arvensis,Asteraceae,Calendula,arvensis,6.1,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Calendula_pachysperma,Asteraceae,Calendula,pachysperma,31.485,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Calendula_palaestina,Asteraceae,Calendula,palaestina,20.64,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Callistephus_chinensis,Asteraceae,Callistephus,chinensis,2,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Calotis_cuneifolia,Asteraceae,Calotis,cuneifolia,0.71,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,GBIF
Calycadenia_multiglandulosa,Asteraceae,Calycadenia,multiglandulosa,1.187,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Calycadenia_oppositifolia,Asteraceae,Calycadenia,oppositifolia,0.78,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
Calycadenia_pauciflora,Asteraceae,Calycadenia,pauciflora,0.84,Seed Information Database,SI,Grossenbacher et al. (2017),Herb,Herb,Engemann et al. (2016)
